seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
59,300.0,1,323.19932004526015,299.9999999999997,1,27,59,3,16.319560146617793,234,212,,,48.35959612195082,47.712332999701204,323.19932004526015,328.19932004526015,3000,600,136.28200000000288
74,300.0,1,40.2796000000003,40.1000000000003,0,0,10,0,4.402985074626866,5,10,,,39.89509713134861,39.6218373645336,40.2796000000003,35.2796000000003,401,81,15.765999999999622
72,300.0,1,21.122400000000034,21.10000000000003,0,0,10,0,6.65566037735849,5,10,,,35.73038395581872,31.8502925652279,21.122400000000034,16.122400000000034,211,43,11.68800000000192
65,300.0,1,25.062800000000088,25.000000000000085,0,0,10,0,5.900398406374502,5,10,,,36.370778362750094,34.52544229459793,25.062800000000088,20.062800000000088,250,50,11.531999999999243
78,300.0,1,37.92640000000027,37.700000000000266,0,0,10,0,4.5132275132275135,7,12,,,37.57389934617199,34.876213609319336,37.92640000000027,32.92640000000027,377,76,7.937999999998283
80,300.0,1,71.06840000000024,70.70000000000026,0,0,10,0,2.940677966101695,5,10,,,38.701606594253995,36.19142029734132,71.06840000000024,66.06840000000024,707,142,19.735000000000582
46,300.0,1,313.21848258466986,299.9999999999997,1,6,30,1,10.95234921692769,132,131,,,48.026503525847545,45.16863439404554,313.21848258466986,318.21848258466986,3000,600,119.84400000000096
52,300.0,1,18.35879999999999,18.29999999999999,0,0,10,0,7.684782608695652,5,10,,,34.54245487492947,31.68180080841443,18.35879999999999,13.358799999999992,183,37,2.5930000000007567
86,300.0,1,70.78500000000025,70.10000000000029,0,0,10,0,4.028490028490029,6,11,,,42.13580747703356,39.90651846889592,70.78500000000025,65.78500000000025,701,141,15.235000000000582
75,300.0,1,243.64399999999074,239.0999999999907,0,0,20,0,4.081939799331104,41,46,,,45.93524833178451,46.35526419436639,243.64399999999074,238.64399999999074,2391,479,82.32800000000134
43,300.0,1,308.94476965780353,299.9999999999997,1,9,27,1,7.318227257580807,108,104,,,47.313303451089844,46.401262225595744,308.94476965780353,313.94476965780353,3000,600,103.92199999999866
92,300.0,1,35.74180000000023,35.600000000000236,0,0,10,0,4.092436974789916,5,10,,,36.08331120409018,33.30686674510392,35.74180000000023,30.741800000000232,356,72,10.21900000000096
49,300.0,1,28.867600000000145,28.700000000000138,0,0,10,0,5.697916666666667,5,10,,,39.488523163945295,35.95710416728136,28.867600000000145,23.867600000000145,287,58,9.875
98,300.0,1,40.43180000000031,40.0000000000003,0,0,10,0,5.13715710723192,7,12,,,40.191216374523876,36.94391130783315,40.43180000000031,35.43180000000031,400,80,11.375
104,300.0,1,38.11160000000027,37.90000000000027,0,0,10,0,4.644736842105263,5,10,,,38.871485095854,35.88464559048092,38.11160000000027,33.11160000000027,379,76,5.438000000001921
84,300.0,1,243.11279450290496,240.19999999999064,0,0,19,0,5.572617561381606,73,78,,,49.271568929417406,48.54143912964211,243.11279450290496,238.11279450290496,2402,481,65.73400000000038
110,300.0,1,39.48980000000029,39.20000000000029,0,0,10,0,4.748091603053435,5,10,,,39.55983769658659,38.229126107537915,39.48980000000029,34.48980000000029,392,79,12.25
71,300.0,1,308.141488037396,299.9999999999997,1,8,14,1,5.137620793068977,75,72,,,48.145998474110485,46.22835838566657,308.141488037396,313.141488037396,3000,600,91.88999999999942
77,300.0,1,32.9522000000002,32.800000000000196,0,0,10,0,4.954407294832826,5,10,,,41.53364618847734,37.261659999566035,32.9522000000002,27.952200000000197,328,66,13.687999999998283
58,300.0,1,305.45787394427185,299.9999999999997,1,21,21,1,7.906031322892369,125,109,,,52.29752621862531,52.20690319192113,305.45787394427185,310.45787394427185,3000,600,119.5
81,300.0,1,300.08853776569856,295.0999999999986,0,0,17,0,4.107384823848238,53,58,,,45.08676275116619,43.26740155685656,300.08853776569856,295.08853776569856,2951,591,123.46900000000096
87,300.0,1,28.350400000000135,28.20000000000013,0,0,10,0,5.862190812720848,5,10,,,36.049907527912566,33.88971535589714,28.350400000000135,23.350400000000135,282,57,12.045999999998457
55,300.0,1,332.5626000000081,299.9999999999997,1,5,48,3,18.661446184605133,245,245,,,47.46294790732011,46.151689458530896,332.5626000000081,337.5626000000081,3000,600,133.06199999999808
93,300.0,1,28.329200000000135,28.20000000000013,0,0,10,0,5.6113074204946995,5,10,,,36.55568745685661,35.43401409293425,28.329200000000135,23.329200000000135,282,57,14.25
90,300.0,1,323.6484252202052,299.9999999999997,1,21,53,1,15.28323892035988,218,202,,,48.41077143297893,46.84911782282617,323.6484252202052,328.6484252202052,3000,600,147.76599999999962
116,300.0,1,326.061045175546,299.9999999999997,1,19,44,3,18.955014995001665,304,290,,,48.3494628697493,47.5390583007683,326.061045175546,331.061045175546,3000,600,148.82800000000134
96,300.0,1,25.722200000000097,25.500000000000092,0,0,11,0,6.89453125,6,11,,,39.43098592920858,36.53350266643702,25.722200000000097,20.722200000000097,255,51,11.125
83,300.0,1,304.1984312027327,299.9999999999997,1,8,10,1,3.497500833055648,59,56,,,46.71055009076371,44.2961951622207,304.1984312027327,309.1984312027327,3000,600,132.96900000000096
64,300.0,1,307.81242139345153,299.9999999999997,1,22,39,2,9.738087304231923,178,161,,,46.81404511120661,43.20336363524468,307.81242139345153,312.81242139345153,3000,600,137.21800000000076
61,300.0,1,318.49231981248016,299.9999999999997,1,12,42,3,13.6647784071976,206,199,,,49.13258394337062,48.241074176940245,318.49231981248016,323.49231981248016,3000,600,136.06200000000172
99,300.0,1,282.61365543542,295.9999999999988,0,0,16,0,6.100303951367781,94,99,,,50.28629261890569,49.92671509168252,282.61365543542,277.61365543542,2960,592,134.84400000000096
67,300.0,1,43.45640000000034,43.10000000000034,0,0,10,0,4.810185185185185,6,11,,,37.047378121792065,33.98678625068169,43.45640000000034,38.45640000000034,431,87,19.125
122,300.0,1,333.3429114294344,299.9999999999997,1,19,57,2,19.623125624791736,277,263,,,49.05158628092789,48.31107787700153,333.3429114294344,338.3429114294344,3000,600,142.73400000000038
102,300.0,1,309.9901326711705,299.9999999999997,1,3,32,1,7.930023325558147,126,128,,,48.898517577436074,48.659137628143895,309.9901326711705,314.9901326711705,3000,600,147.0779999999977
108,300.0,1,34.22100000000022,34.00000000000021,0,0,11,0,5.363636363636363,6,11,,,39.878017759494604,39.03954634624551,34.22100000000022,29.221000000000217,340,68,11.140999999999622
