seed,horizon,complete,official_score,survival_time,horizon_reached,final_population,peak_population,minimum_population,mean_population,births,deaths,predator_related_deaths,fruit_score_contribution,mean_energy,median_energy,official_reward,training_reward,environment_ticks,decision_steps,episode_wall_time
63,300.0,1,38.498000000000275,38.300000000000274,0,0,10,0,4.494791666666667,5,10,,,36.59064498652706,33.931855150985086,38.498000000000275,33.498000000000275,383,77,12.625
83,300.0,1,118.76976576791505,117.99999999999757,0,0,10,0,3.2633361558001694,13,18,,,48.82320118337044,47.32089780014414,118.76976576791505,113.76976576791505,1180,236,46.89099999999962
69,300.0,1,22.056400000000046,22.000000000000043,0,0,10,0,6.6923076923076925,5,10,,,36.16972316913738,35.096761205607734,22.056400000000046,17.056400000000046,220,44,6.890999999999622
89,300.0,1,33.1054000000002,32.9000000000002,0,0,10,0,5.493939393939394,5,10,,,38.97294068796327,35.97131927070152,33.1054000000002,28.105400000000202,329,66,9.3279999999977
95,300.0,1,26.37100000000011,26.300000000000104,0,0,10,0,5.6893939393939394,5,10,,,35.438751101586995,33.057280098996785,26.37100000000011,21.37100000000011,263,53,6.390999999999622
50,300.0,1,315.35552169766885,299.9999999999997,1,1,34,1,10.801732755748084,149,153,,,47.19594741913772,44.7584212432415,315.35552169766885,320.35552169766885,3000,600,125.125
43,300.0,1,303.8888068173186,299.9999999999997,1,1,25,1,10.324225258247251,135,139,,,50.656550090187096,50.854022716791214,303.8888068173186,308.8888068173186,3000,600,123.03099999999904
75,300.0,1,70.83360000000025,70.10000000000029,0,0,10,0,3.53988603988604,10,15,,,41.81232747354177,38.49532927192189,70.83360000000025,65.83360000000025,701,141,27.889999999999418
58,300.0,1,305.5525975188149,299.9999999999997,1,5,12,1,4.168943685438188,58,58,,,49.49739437482409,48.870149245971135,305.5525975188149,310.5525975188149,3000,600,122.46900000000096
81,300.0,1,30.04000000000016,29.900000000000155,0,0,10,0,5.04,5,10,,,37.325916547692295,33.967315268078394,30.04000000000016,25.04000000000016,299,60,8.687000000001717
56,300.0,1,48.76320000000042,48.50000000000042,0,0,10,0,3.654320987654321,7,12,,,38.747552763872946,35.029997222485775,48.76320000000042,43.76320000000042,485,97,20.562999999998283
64,300.0,1,21.085200000000032,21.00000000000003,0,0,10,0,6.9052132701421804,5,10,,,33.2500973589581,31.663964877605917,21.085200000000032,16.085200000000032,210,42,8.328000000001339
87,300.0,1,31.534800000000182,31.400000000000176,0,0,10,0,4.942857142857143,5,10,,,40.481168049085376,35.34160202238629,31.534800000000182,26.534800000000182,314,63,11.25
62,300.0,1,30.50820000000017,30.30000000000016,0,0,10,0,4.980263157894737,6,11,,,41.67552024104663,36.83987648647337,30.50820000000017,25.50820000000017,303,61,12.64100000000326
70,300.0,1,37.585000000000264,37.20000000000026,0,0,10,0,5.378016085790884,6,11,,,40.68914540369443,38.510709534312596,37.585000000000264,32.585000000000264,372,75,14.90599999999904
68,300.0,1,67.63920000000044,67.00000000000047,0,0,10,0,3.970193740685544,9,14,,,37.763978252516004,35.9326695342331,67.63920000000044,62.63920000000044,670,134,25.610000000000582
54,300.0,1,288.1241308251093,269.79999999999285,0,0,37,0,13.777695442756576,191,196,,,49.33652433341335,47.675729015053136,288.1241308251093,283.1241308251093,2698,540,115.35900000000038
60,300.0,1,41.60500000000032,41.30000000000032,0,0,9,0,4.594202898550725,5,10,,,44.087249780322544,37.36389613419262,41.60500000000032,36.60500000000032,413,83,22.562999999998283
66,300.0,1,28.09140000000013,27.800000000000125,0,0,11,0,6.168458781362007,7,12,,,39.00114644511998,34.62001789776929,28.09140000000013,23.09140000000013,278,56,14.81300000000192
